,context_sentence,pair_ID,is_in_train,name,output_name,score
0,MASK,0,0,Wendell Jordan S. Krieg,Wendell Jordan S . K ##rie ##g,0.8766589164733887
1,MASK,0,1,Carsten Wolf,Cars ##ten Wolf,0.9448224902153015
2,MASK,1,0,Pete Friesen,Pete Fr ##ies,0.9996710419654846
3,MASK,1,1,Michel Bourlet,Michel Bo ##ur ##let,0.9943708181381226
4,MASK,2,0,Ilona Juhász,Il ##ona Ju ##h ##ás ##z,0.9196856617927551
5,MASK,2,1,Franz Konrad,Franz Konrad,0.9993963241577148
6,MASK,3,0,Lucas Bretón,Lucas B ##ret ##ón,0.9972903728485107
7,MASK,3,1,Jonty Rhodes,Jon ##ty Rhodes,0.8768312335014343
8,MASK,4,0,Emilie Lamprecht,Emil ##ie Lam ##p ##recht,0.9085637927055359
9,MASK,4,1,Brian De Palma,Brian De Palma,0.9997367262840271
10,MASK,5,0,Sandro Link,Sand ##ro Link,0.9833301901817322
11,MASK,5,1,Jean-Pierre Cyprien,Jean Pierre Cy ##p ##rien,0.9883264303207397
12,MASK,6,0,Scott Free,Scott Free,0.9996613264083862
13,MASK,6,1,Roberto Baggio,Roberto Ba ##ggio,0.9995926022529602
14,MASK,7,0,Anne Chapin,Anne Cha ##pin,0.9993980526924133
15,MASK,7,1,Michael Hubner,Michael Hu ##bner,0.9993876814842224
16,MASK,8,0,Caroline Mary French,Caroline Mary French,0.9981287121772766
17,MASK,8,1,Brad Ausmus,Brad Au ##smus,0.999592125415802
18,MASK,9,0,Ursula Wachholz,Ursula W ##ach ##hol ##z,0.9951155781745911
19,MASK,9,1,George Hincapie,George Hi ##nc ##ap ##ie,0.9792813062667847
20,MASK,10,0,Derbew Fikadu Berhe,Der ##be ##w Fi ##ka ##du Be ##r,0.7184369564056396
21,MASK,10,1,Ray Durham,Ray Durham,0.9983745813369751
22,MASK,11,0,Kayue Daniel Wong,Kay Daniel Wong,0.9946882724761963
23,MASK,11,1,Leander Paes,Lea ##nder Pa,0.9950607419013977
24,MASK,12,0,Michal Krajnik,Mi ##chal K ##raj ##nik,0.9766448736190796
25,MASK,12,1,Sabine Hack,Sabine Ha,0.9996386766433716
26,MASK,13,0,Gennady Chebotaryov,Gen ##na ##dy Ch ##eb ##ota ##ryo,0.9867849946022034
27,MASK,13,1,Cheah Soon Kit,Ch Soon,0.8127992153167725
28,MASK,14,0,Rosemond Tuve,Rose ##mond Tu ##ve,0.800956130027771
29,MASK,14,1,Dick Spring,Dick Spring,0.9994183778762817
30,MASK,15,0,Kynsailang Khongsit,K ##sai ##lang K ##hong,0.5932831764221191
31,MASK,15,1,Federico Colonna,Federico Col ##on,0.9995071291923523
32,MASK,16,0,Camila M Maroneze,Cam ##ila M Mar ##one,0.9745152592658997
33,MASK,16,1,Ann Stephens,Ann Stephens,0.9994000792503357
34,MASK,17,0,Yan Lun,Yan Lu,0.9987550377845764
35,MASK,17,1,Derek Crookes,Derek C ##rook,0.9996867775917053
36,MASK,18,0,Chiquita Gayle Heathcote Scott,Chi ##qui ##ta Gay ##le Heath ##cote Scott,0.7970484495162964
37,MASK,18,1,Wataru Kubo,W ##ata ##ru Ku ##bo,0.9755688905715942
38,MASK,19,0,David R. Adamson,David R . Adams,0.9980384111404419
39,MASK,19,1,Alberto Berasategui,Alberto Be ##ras ##ate ##gu,0.8729766607284546
40,MASK,20,0,Saamer Usmani,Sa ##ame ##r Us ##mani,0.8951629400253296
41,MASK,20,1,Peter Johansson,Peter Johan ##sson,0.9992888569831848
42,MASK,21,0,Snyder Rini,Snyder R ##ini,0.9900959134101868
43,MASK,21,1,Yasser Arafat,Ya ##sser Ara ##fa ##t,0.9507718086242676
44,MASK,22,0,Brigitte Bruch,B ##rig ##itte B ##ru ##ch,0.9737967848777771
45,MASK,22,1,Samuel Graham,Samuel Graham,0.9996205568313599
46,MASK,23,0,Andrea Gawrich,Andrea G ##aw ##rich,0.979098379611969
47,MASK,23,1,Fanie de Villiers,Fan ##ie de V ##illiers,0.9052354693412781
48,MASK,24,0,Syver Kristiansen,S ##y ##ver Kris ##tian ##sen,0.9677523970603943
49,MASK,24,1,Tom Steels,Tom Steel,0.999675452709198
50,MASK,25,0,Laili Soleimani,Lai ##li Sol ##eim,0.9083420038223267
51,MASK,25,1,Ashia Hansen,Ash ##ia Hansen,0.9721517562866211
52,MASK,26,0,Sizelia Souza Gomes,Si ##zel ##ia So ##uza Go ##mes,0.9406505227088928
53,MASK,26,1,Eric Bernard,Eric Bernard,0.9995764493942261
54,MASK,27,0,Joyce de Botetourt,Joyce de Bo ##te ##tour,0.9991768002510071
55,MASK,27,1,Juan Curuchet,Juan C ##uru ##chet,0.9923694133758545
56,MASK,28,0,Brian George Richard Neville,Brian George Richard Neville,0.9986878633499146
57,MASK,28,1,Sandra Dopfer,Sandra Do ##pf,0.9994230270385742
58,MASK,29,0,Anton Schoth,Anton Sc ##hot ##h,0.9863434433937073
59,MASK,29,1,Peter Nicol,Peter Nico ##l,0.9716582298278809
60,MASK,30,0,Jean-Christophe Martinez,Jean Christophe Martinez,0.8748525977134705
61,MASK,30,1,Mary Pierce,Mary Pierce,0.9990103244781494
62,MASK,31,0,Sylvie Narbey,S ##yl ##vie Na ##rb ##ey,0.945202648639679
63,MASK,31,1,Bernardo Arce,Bernardo Arc,0.9996073842048645
64,MASK,32,0,Ravi Ramakrishnan,Ravi Rama ##k ##ris ##hn,0.996245265007019
65,MASK,32,1,Tony Johnstone,Tony Johnstone,0.9997251033782959
66,MASK,33,0,Kaku Hika,Ka ##ku Hi,0.9708108901977539
67,MASK,33,1,Marcelo Filippini,Marcel ##o Fi ##lip ##pin,0.9502911567687988
68,MASK,34,0,Robert Zwierzina,Robert Z ##wi ##er ##zin,0.9946863055229187
69,MASK,34,1,Ravindra Pushpakumara,Ravi ##ndra P ##ush ##pa ##kumar,0.9091594219207764
70,MASK,35,0,Evelyn Florence Archibald,Evelyn Florence Archibald,0.9512259364128113
71,MASK,35,1,Mats Wilander,Mat ##s W ##ila ##nder,0.9182618856430054
72,MASK,36,0,Lou Bohringer,Lou Bo ##hr,0.9996874928474426
73,MASK,36,1,Don McKinnon,Don M ##c ##K ##inn,0.9968635439872742
74,MASK,37,0,Peter Nordby,Peter Nord ##by,0.9961509704589844
75,MASK,37,1,Dmitry Solovyov,Dmitry Solo ##vy ##ov,0.9959657192230225
76,MASK,38,0,Nelly Barton,Nell ##y Barton,0.9326775670051575
77,MASK,38,1,Yukio Hatoyama,Yu ##ki ##o Hat ##oya ##ma,0.8488037586212158
78,MASK,39,0,Deborah Peagler,Deborah P ##ea ##gler,0.999378502368927
79,MASK,39,1,James Harvey,James Harvey,0.9996727108955383
80,MASK,40,0,Miu Can,Mi ##u Can,0.9232252240180969
81,MASK,40,1,Des Smyth,Des S ##my ##th,0.9989778995513916
82,MASK,41,0,Marta Gega,Marta G ##eg,0.9991869926452637
83,MASK,41,1,Iva Majoli,I ##va Maj ##oli,0.8630228042602539
84,MASK,42,0,Lilli Deutschová,Lil ##li De ##uts ##cho ##v,0.9242184162139893
85,MASK,42,1,Darryn Hill,Dar ##ryn Hill,0.9855165481567383
