,context_sentence,pair_ID,is_in_train,name,output_name,score
0,MASK,0,0,Wendell Jordan S. Krieg,Wendell Jordan S . K ##rie ##g,0.8728975653648376
1,MASK,0,1,Carsten Wolf,Cars ##ten Wolf,0.9670206904411316
2,MASK,1,0,Pete Friesen,Pete Fr ##ies ##en,0.9760798811912537
3,MASK,1,1,Michel Bourlet,Michel Bo ##ur ##let,0.9859700202941895
4,MASK,2,0,Ilona Juhász,Il ##ona Ju ##h ##ás ##z,0.9619302153587341
5,MASK,2,1,Franz Konrad,Franz Konrad,0.996634304523468
6,MASK,3,0,Lucas Bretón,Lucas B ##ret ##ón,0.9936038851737976
7,MASK,3,1,Jonty Rhodes,Jon ##ty Rhodes,0.987679660320282
8,MASK,4,0,Emilie Lamprecht,Emil ##ie Lam ##p ##recht,0.9408879280090332
9,MASK,4,1,Brian De Palma,Brian De Palma,0.9975459575653076
10,MASK,5,0,Sandro Link,Sand ##ro Link,0.8674912452697754
11,MASK,5,1,Jean-Pierre Cyprien,Jean - Pierre Cy ##p ##rien,0.9718165993690491
12,MASK,6,0,Scott Free,Scott Free,0.9972330331802368
13,MASK,6,1,Roberto Baggio,Roberto Ba ##ggio,0.9916040897369385
14,MASK,7,0,Anne Chapin,Anne Cha ##pin,0.9966111183166504
15,MASK,7,1,Michael Hubner,Michael Hu ##bner,0.9973476529121399
16,MASK,8,0,Caroline Mary French,Caroline Mary French,0.9785683751106262
17,MASK,8,1,Brad Ausmus,Brad Au ##smus,0.9963008761405945
18,MASK,9,0,Ursula Wachholz,Ursula W ##ach ##hol ##z,0.9692431688308716
19,MASK,9,1,George Hincapie,George Hi ##nc ##ap ##ie,0.920017421245575
20,MASK,10,0,Derbew Fikadu Berhe,Der ##be ##w Fi ##ka ##du Be ##r ##he,0.7971043586730957
21,MASK,10,1,Ray Durham,Ray Durham,0.9988810420036316
22,MASK,11,0,Kayue Daniel Wong,Kay ##ue Daniel Wong,0.9371370673179626
23,MASK,11,1,Leander Paes,Lea ##nder Pa ##es,0.9531031847000122
24,MASK,12,0,Michal Krajnik,Mi ##chal K ##raj ##nik,0.9737827181816101
25,MASK,12,1,Sabine Hack,Sabine Ha ##ck,0.9609554409980774
26,MASK,13,0,Gennady Chebotaryov,Gen ##na ##dy Ch ##eb ##ota ##ryo ##v,0.963217556476593
27,MASK,13,1,Cheah Soon Kit,Ch ##ea ##h Soon Kit,0.7713145017623901
28,MASK,14,0,Rosemond Tuve,Rose ##mond Tu ##ve,0.9638670086860657
29,MASK,14,1,Dick Spring,Dick Spring,0.997515082359314
30,MASK,15,0,Kynsailang Khongsit,K ##yn ##sai ##lang K ##hong ##si ##t,0.9811789393424988
31,MASK,15,1,Federico Colonna,Federico Col ##on ##na,0.9741926789283752
32,MASK,16,0,Camila M Maroneze,Cam ##ila M Mar ##one ##ze,0.8558186888694763
33,MASK,16,1,Ann Stephens,Ann Stephens,0.9976833462715149
34,MASK,17,0,Yan Lun,Yan Lu,0.9919424057006836
35,MASK,17,1,Derek Crookes,Derek C ##rook ##es,0.9905012249946594
36,MASK,18,0,Chiquita Gayle Heathcote Scott,Chi ##qui ##ta Gay ##le Heath ##cote Scott,0.8290027976036072
37,MASK,18,1,Wataru Kubo,W ##ata ##ru Ku ##bo,0.8610528707504272
38,MASK,19,0,David R. Adamson,David R . Adams ##on,0.922488808631897
39,MASK,19,1,Alberto Berasategui,Alberto Be ##ras ##ate ##gu ##i,0.9358153939247131
40,MASK,20,0,Saamer Usmani,Sa ##ame ##r Us ##mani,0.6207032799720764
41,MASK,20,1,Peter Johansson,Peter Johan ##sson,0.9941136837005615
42,MASK,21,0,Snyder Rini,Snyder R ##ini,0.9072184562683105
43,MASK,21,1,Yasser Arafat,Ya ##sser Ara ##fa ##t,0.9143939018249512
44,MASK,22,0,Brigitte Bruch,B ##itte B ##ru ##ch,0.9220409393310547
45,MASK,22,1,Samuel Graham,Samuel Graham,0.9972969889640808
46,MASK,23,0,Andrea Gawrich,Andrea G ##aw ##rich,0.9888064861297607
47,MASK,23,1,Fanie de Villiers,Fan ##ie de V ##illiers,0.9734578132629395
48,MASK,24,0,Syver Kristiansen,S ##y ##ver Kris ##tian ##sen,0.9012230038642883
49,MASK,24,1,Tom Steels,Tom Steel ##s,0.9766502380371094
50,MASK,25,0,Laili Soleimani,Lai ##li Sol ##eim ##ani,0.9736369848251343
51,MASK,25,1,Ashia Hansen,Ash ##ia Hansen,0.9002923965454102
52,MASK,26,0,Sizelia Souza Gomes,Si ##zel ##ia So ##uza Go ##mes,0.9614400267601013
53,MASK,26,1,Eric Bernard,Eric Bernard,0.9986337423324585
54,MASK,27,0,Joyce de Botetourt,Joyce de Bo ##te ##tour ##t,0.8750543594360352
55,MASK,27,1,Juan Curuchet,Juan C ##uru ##chet,0.9943956732749939
56,MASK,28,0,Brian George Richard Neville,Brian George Richard Neville,0.9968630075454712
57,MASK,28,1,Sandra Dopfer,Sandra Do ##pf,0.9737090468406677
58,MASK,29,0,Anton Schoth,Anton Sc ##hot ##h,0.9960001707077026
59,MASK,29,1,Peter Nicol,Peter Nico ##l,0.9968075752258301
60,MASK,30,0,Jean-Christophe Martinez,Jean - Christophe Martinez,0.9638190865516663
61,MASK,30,1,Mary Pierce,Mary Pierce,0.994765043258667
62,MASK,31,0,Sylvie Narbey,S ##yl ##vie Na ##rb ##ey,0.9082089066505432
63,MASK,31,1,Bernardo Arce,Bernardo Arc ##e,0.9945276379585266
64,MASK,32,0,Ravi Ramakrishnan,Ravi Rama ##k ##ris ##hn ##an,0.9104787707328796
65,MASK,32,1,Tony Johnstone,Tony Johnstone,0.9988306760787964
66,MASK,33,0,Kaku Hika,Ka ##ku Hi ##ka,0.6505038738250732
67,MASK,33,1,Marcelo Filippini,Marcel ##o Fi ##lip ##pin ##i,0.9873461723327637
68,MASK,34,0,Robert Zwierzina,Robert Z ##wi ##er ##zin ##a,0.8800487518310547
69,MASK,34,1,Ravindra Pushpakumara,Ravi ##ndra P ##ush ##pa ##kumar ##a,0.929994523525238
70,MASK,35,0,Evelyn Florence Archibald,Evelyn Florence Archibald,0.9932191371917725
71,MASK,35,1,Mats Wilander,Mat ##s W ##ila ##nder,0.9462529420852661
72,MASK,36,0,Lou Bohringer,Lou Bo ##hr ##inger,0.9513036012649536
73,MASK,36,1,Don McKinnon,Don M ##c ##K ##inn ##on,0.9087702631950378
74,MASK,37,0,Peter Nordby,Peter Nord ##by,0.9828620553016663
75,MASK,37,1,Dmitry Solovyov,Dmitry Solo ##vy ##ov,0.9613370299339294
76,MASK,38,0,Nelly Barton,Nell ##y Barton,0.93720942735672
77,MASK,38,1,Yukio Hatoyama,Yu ##ki ##o Hat ##oya ##ma,0.9505534768104553
78,MASK,39,0,Deborah Peagler,Deborah P ##ea ##gler,0.9748921990394592
79,MASK,39,1,James Harvey,James Harvey,0.9978552460670471
80,MASK,40,0,Miu Can,Mi ##u Can,0.9169546961784363
81,MASK,40,1,Des Smyth,Des S ##my ##th,0.9821885228157043
82,MASK,41,0,Marta Gega,Marta G ##eg ##a,0.9641595482826233
83,MASK,41,1,Iva Majoli,I ##va Maj ##oli,0.9578135013580322
84,MASK,42,0,Lilli Deutschová,Lil ##li De ##uts ##cho ##v ##á,0.8292363882064819
